date,rice_price,sugar_price,wheat_price,rainfall_mm,temp_c,month,year,wheat_price_lag1,wheat_price_lag2,wheat_price_lag4,rice_price_lag1,rice_price_lag2,rice_price_lag4,sugar_price_lag1,sugar_price_lag2,sugar_price_lag4,wheat_price_roll4,wheat_price_roll8,rice_price_roll4,rice_price_roll8,sugar_price_roll4,sugar_price_roll8,wheat_price_momentum,rice_price_momentum,sugar_price_momentum,rainfall_lag2,rainfall_lag4,is_summer,is_harvest,is_crushing
2018-03-01,81.15,52.120000000000005,37.7,16.900000000000002,21.89032258064516,3,2018,37.815,38.25,38.3,81.16,81.16,77.85499999999999,52.07,53.195,54.395,38.21625,36.870625,79.5075,77.92374999999998,53.51375,54.336875,-1.7792207792207804,4.245070965255926,-4.274289916352614,11.7,6.9,0,0,0
2018-04-01,81.16,53.32,36.5,15.2,26.773333333333333,4,2018,37.7,37.815,38.5,81.15,81.16,77.85499999999999,52.120000000000005,52.07,54.395,38.06625,37.199999999999996,80.33125,78.648125,52.94500000000001,54.010000000000005,-1.437908496732021,-0.012321340561838312,-2.020866622802886,20.0,21.7,0,1,0
2018-05-01,81.16,53.07,34.065,19.7,31.116129032258065,5,2018,36.5,37.7,38.25,81.16,81.15,81.16,53.32,52.120000000000005,53.195,37.56625,37.4375,81.1575,79.31125,52.67625,53.611875000000005,-3.4774560359645545,0.0,2.4006145573266746,16.900000000000002,11.7,1,1,0
2018-06-01,81.16,53.695,32.625,125.9,32.745,6,2018,34.065,36.5,37.815,81.16,81.16,81.16,53.07,53.32,52.07,36.519999999999996,37.235,81.1575,79.880625,52.645,53.34125,-9.641909814323624,0.01232285890324647,1.822716807367608,15.2,20.0,1,0,0
2018-07-01,81.16,54.32,38.0,151.9,30.427419354838708,7,2018,32.625,34.065,37.7,81.16,81.16,81.15,53.695,53.07,52.120000000000005,35.2225,36.719375,81.1575,80.3325,53.051249999999996,53.2825,-10.616438356164382,0.0,0.70330082520631,19.7,16.900000000000002,1,0,0
2018-08-01,81.16,55.695,37.5,88.0,30.532258064516128,8,2018,38.0,32.625,36.5,81.16,81.16,81.16,54.32,53.695,53.32,35.2975,36.681875,81.16,80.74562499999999,53.60124999999999,53.273125,11.55144576544842,0.0,2.355379687205583,125.9,15.2,1,0,0
2018-09-01,81.16,54.510000000000005,37.78,120.3,28.95833333333333,9,2018,37.5,38.0,34.065,81.16,81.16,81.16,55.695,54.32,53.07,35.5475,36.556875,81.16,81.15875,54.195,53.435624999999995,14.942528735632177,0.0,3.724741596051784,151.9,19.7,0,0,0
2018-10-01,81.2,54.57,38.685,3.9,24.58225806451613,10,2018,37.78,37.5,32.625,81.16,81.16,81.16,54.510000000000005,55.695,53.695,36.47625,36.498125,81.16,81.15875,54.555,53.6,-0.5789473684210455,0.0,0.3497790868924877,88.0,125.9,0,0,0
2018-11-01,81.16,54.52,38.375,7.3,19.438333333333333,11,2018,38.685,37.78,38.0,81.2,81.16,81.16,54.57,54.510000000000005,54.32,37.99125,36.606875,81.17,81.16375000000001,54.77375000000001,53.9125,3.1600000000000072,0.04928536224741986,-2.019929975760837,120.3,151.9,0,0,1
2018-12-01,81.16,55.195,38.375,4.4,13.577419354838709,12,2018,38.375,38.685,37.5,81.16,81.2,81.16,54.52,54.57,55.695,38.085,36.69125,81.17,81.165,54.823750000000004,54.2125,1.5749073583906759,0.0,0.018345257750862487,3.9,88.0,0,0,1
2019-01-01,81.16,54.52,38.525,34.5,11.979032258064516,1,2019,38.375,38.375,37.78,81.16,81.16,81.16,55.195,54.52,54.510000000000005,38.30375,36.925625,81.17,81.16499999999999,54.698750000000004,54.446875,-0.801344190254627,-0.049261083743845635,1.1453179402602265,7.3,120.3,0,0,1
2019-02-01,81.16,59.145,38.625,77.39999999999999,13.964285714285714,2,2019,38.525,38.375,38.685,81.16,81.16,81.2,54.52,55.195,54.57,38.49,37.483125,81.17,81.16499999999999,54.70125,54.628125000000004,0.3908794788273662,0.0,0.0,4.4,3.9,0,0,1
2019-03-01,81.16,60.895,38.605,22.200000000000003,19.288709677419355,3,2019,38.625,38.525,38.375,81.16,81.16,81.16,59.145,54.52,54.52,38.475,38.233125,81.16,81.165,55.845000000000006,55.309375,0.6514657980456029,0.0,7.156445330192951,34.5,7.3,0,0,0
2019-04-01,81.16,64.965,38.27,35.1,27.836666666666662,4,2019,38.605,38.625,38.375,81.16,81.16,81.16,60.895,59.145,55.195,38.5325,38.308749999999996,81.16,81.165,57.438750000000006,56.13125,0.20765736534718027,0.0,11.692956713132796,77.39999999999999,4.4,0,1,0
2019-05-01,81.49,66.96000000000001,38.625,14.2,30.93387096774193,5,2019,38.27,38.605,38.525,81.16,81.16,81.16,64.965,60.895,54.52,38.50625,38.405,81.16,81.16499999999999,59.88125,57.290000000000006,-0.9190938511326796,0.0,9.840223180319562,22.200000000000003,34.5,1,1,0
2019-06-01,81.57499999999999,69.99,40.0,7.300000000000001,34.43666666666666,6,2019,38.625,38.27,38.625,81.49,81.16,81.16,66.96000000000001,64.965,59.145,38.53125,38.510625000000005,81.24249999999999,81.20625,62.99125000000001,58.84625,0.051806760782291406,0.4066042385411528,9.959766811725101,35.1,77.39999999999999,1,0,0
2019-07-01,81.57499999999999,72.02,41.0,161.8,31.240322580645163,7,2019,40.0,38.625,38.605,81.57499999999999,81.49,81.16,69.99,66.96000000000001,60.895,38.875,38.675000000000004,81.34625,81.25312499999998,65.7025,60.77375,4.520512150509526,0.5113356333168895,7.73493419533593,14.2,22.200000000000003,1,0,0
2019-08-01,81.57499999999999,74.745,41.025000000000006,90.6,30.01129032258065,8,2019,41.0,40.0,38.27,81.57499999999999,81.57499999999999,81.16,72.02,69.99,64.965,39.47375,39.003125000000004,81.44999999999999,81.30499999999999,68.48375,62.96125000000001,6.148867313915862,0.10430727696648656,7.556750298685766,7.300000000000001,35.1,1,0,0
